"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"above",-0.0696638236046605,0.0468045864906723,0.0420892200997496,-0.00706744129702441,-0.0435063569843984,0.0713440142489571,-0.0231029384546959,0.104715421597159,-0.0165208647960197,0.0185126369246247
"admiration",-0.0726624876930344,-0.00131796663077893,-0.0382426051165775,-0.0678046008462769,-0.0465516255554788,-0.0547792891193997,0.12623456460451,0.0368326367822921,0.0554017056028798,0.0796936155634923
"air",-0.064389458715446,0.107351670004752,-0.0324085567219057,-0.0523321463074819,0.0243250750212573,0.103365577190946,-0.0592508872924659,0.0164092362977077,0.0232206073462624,-0.0962420889461341
"around",-0.066088555604383,0.150896399033018,0.0470611279055096,-0.028173563547163,-0.0582244483920232,-0.0450335579228062,-0.0326379548091998,-0.0907095073854541,-0.0683865097818717,-0.089968448145007
"art",-0.0708793017605513,0.0372349534009684,-0.00760456611345361,0.0385383011051295,0.0986272788587464,-0.0198192755742372,-0.000396197099758772,0.0419633313656321,0.00351928600199045,0.0799297019556391
"arts",-0.0704538870044755,-0.000159000999165118,-0.0457497940914625,-0.0457310087733651,0.124048923784775,-0.0783258575448301,-0.030534542351337,0.114817821613936,-0.101105496693908,0.0121263494806189
"author",-0.069789435277511,-0.062726342071079,-0.0565446833419049,0.117128366185842,-0.0053122579730458,0.0189109007395949,-0.0190503667870057,0.0190145294577843,0.0249816695890022,0.118485196707539
"awful",-0.0737585868577535,0.0697256105807704,0.0679242590283066,0.0100744049452512,-0.102273050697455,0.0387006175951182,0.0836539549963014,-0.10226355154599,-0.108321122707828,-0.0565511233939781
"beauties",-0.0754276265929477,0.0607603375326071,-0.0747284399714594,0.0494330905834611,-0.0131220922441159,-0.190696808912423,-0.0222546661333529,-0.0483863045274652,0.00176983294908048,0.028310849922286
"beautiful",-0.0713099992410072,0.0439169626277279,-0.109181502523578,0.00738182455662706,-0.124602724692729,-0.00274659702585223,-0.0269242073003343,-0.0715740719275944,-0.0337393631198776,0.02104698565002
"beauty",-0.0739276760697766,0.0389793465344741,-0.0373097033290254,-0.0329722251911915,-0.0121825940188503,-0.0880323777786914,0.0576601816364333,-0.00866704994421252,0.0555941389909671,0.060760604335933
"beyond",-0.0710308198935209,0.03020306142811,-0.00221643035445133,-0.054883093632843,-0.02816720152764,0.0394969222696299,-0.0918048832944783,0.0635964301526967,-0.00821937894356611,0.0367148903597912
"bold",-0.0701613533523817,0.0689203055092768,-0.0254627920614905,0.0543710395258523,0.0240274624879247,0.0372493248457156,-0.00457853368399497,0.0156940279525443,-0.00998969586628169,-0.124276902605716
"bright",-0.0711571551242095,0.127740007514404,0.0597124348873503,-0.00277225241008287,-0.000911882813871331,-0.0869386813264812,-0.00138739488695724,-0.083643103390417,-0.0612075464370643,-0.0195089401208777
"can",-0.0699829399353707,-0.010784077089812,0.0329720462005852,-0.0180495443517009,0.0316750118768209,0.00808745223533087,-0.0625658082783955,0.00818300996394977,0.0798692804923132,0.0410117815677569
"capable",-0.0707109597589209,-0.0726792907626685,-0.0126186206742642,-0.111279969161832,0.037475514560719,0.043436639945343,-0.0374490948801785,0.0149263254651602,0.0617505676317892,0.0745254198948988
"character",-0.0687698928535138,-0.0659621103845356,-0.0429365317303562,0.0185806989578262,-0.0506054152461438,-0.0152877596280288,0.0799581901307891,0.0751280353016098,0.0367206710414671,0.0265168519417057
"christian",-0.0691106373078965,-0.118595378483197,0.0856989191737538,0.0716633242054919,0.00997695383425472,0.0690612288530681,0.0296290043497006,0.0455623239498351,-0.0275922101605246,-0.0162760764537951
"climb",-0.0646639899400759,0.23033447467829,0.0650247094261817,-0.00401911971963733,0.121628276180248,0.0181755558953839,-0.0948755281403478,0.216188624349872,-0.00547230555746575,-0.0333940920417635
"clime",-0.0682075501530874,0.178420721855696,0.0199832256971999,0.0217749988886569,0.25632122238828,-0.0800703422496645,-0.0601191077779478,0.0558089117440152,-0.0952355507036101,-0.0534810938303655
"conceptions",-0.0772950332699757,-0.116205410110936,-0.0296695931794961,-0.123145689544981,-0.177845019249672,0.0235459171509199,0.0446195022795739,-0.0850066215445675,-0.0675876207669364,0.0299981499767893
"contemplation",-0.0759992396975532,0.00466194562650219,0.0526905722422917,-0.11446808546294,-0.0550185465357051,-0.0885675244138866,0.0140871601497483,-0.0991927848197029,-0.0930121329740653,0.131754639062606
"crime",-0.0613819004282273,0.00784442863654594,0.0172121206158894,-0.0449948789683549,0.183009898279501,0.173207994061296,-0.00670733657226342,0.0492507634899707,0.0955932665429694,0.0792108659379906
"deep",-0.0676153429765804,0.0827982444184987,0.0450442305347333,-0.013158576048715,0.00367553566352873,0.0401006087867582,-0.105246962624773,-0.0162567713228461,-0.0596285921365979,-0.0638674903705183
"degree",-0.0687554810808856,-0.0421363889826221,-0.00229588465852489,-0.0869353425344037,-0.00360628695043749,0.0210109547411306,-0.024369188473528,0.193911665425182,0.0965700556892334,-0.00497772235925211
"deity",-0.074674968076863,-0.0492707224993077,0.0460040241977218,-0.000515996514546014,-0.0615867877138759,-0.0141917801655919,0.0484904715918751,-0.092905583922354,-0.0780997827305673,0.0893331085197834
"delight",-0.0729686184712702,0.0455098189925708,0.039541364664955,-0.0157520739504711,-0.0142727522563076,-0.137665894524403,-0.0192214613432609,-0.0934644622727701,0.0652204747035726,0.0357146300394612
"description",-0.0699881311574555,0.00890744029156483,-0.123720790757284,0.0351588767402576,-0.0529563454761737,0.0487707022329273,-0.0146808465018419,-0.0429889929400756,-0.0346337838831415,0.10999350363256
"devotion",-0.0725482567043909,-0.0466260140999276,0.0612263052771344,-0.0420371082242323,-0.0155130196643896,0.0147066966388068,0.0951440199079284,-0.0783502260858136,0.047264037698384,-0.101943931361176
"dignity",-0.0715302256798004,-0.0323928827271133,-0.0141534900229577,-0.044596869064919,-0.0750503870888923,0.0191031972451621,0.1724126210759,0.152081103136204,0.0164446953851629,-0.0223001705659853
"divine",-0.0758357834085232,-0.0546303534703628,0.0787959170240362,0.0336305676108118,0.00966859392426214,0.00221082332352848,0.0724605905137437,-0.083915095519326,-0.0701184314653192,0.0764191180210937
"doctrines",-0.0661365093086146,-0.193638959010253,0.0686564621950766,0.0632179940745316,0.0310048476909555,0.0758569409393079,-0.0305526753784181,-0.0168768664812194,-0.165479195886101,-0.0777058643253932
"elegant",-0.0717000335137844,0.00161169553513687,-0.176684829016842,0.00636225521344413,-0.0716379306805377,-0.0540345682615091,-0.0132628072691687,0.0164433231836092,-0.0227802175027832,-0.0841980861293867
"elevated",-0.076241291982656,0.0182625219952173,-0.0437248581438345,-0.106107138765229,-0.133104656262375,-0.0231389063814794,0.0554378370570688,0.104901386143942,-0.0404284931784891,-0.151411763663007
"eloquence",-0.0755157026149332,-0.0370183824525765,-0.0857910584240252,0.0143060471191889,0.0785099924161211,-0.04902998097473,0.0886329088529122,0.0736506466326055,-0.0134724135326008,-0.10850090965865
"energy",-0.074368663567934,-0.0291731944735225,-0.0402854713363153,0.011319107580164,0.0224759645581913,-0.0433695032994089,0.0729304109180322,-0.0387982674062127,0.0568880514004814,-0.136554422247815
"equally",-0.0691959000205019,-0.044189512227468,-0.0198841765065303,-0.0289107979288002,-0.0219542226944108,0.0355498881636723,-0.063188064412664,0.0626129952172575,0.0196314401175823,-0.0343302538353873
"eternal",-0.0718563209309714,0.016249332710681,0.159027476989681,0.0397977471755809,0.0121570660679587,0.00585407486369206,-0.0099223698991573,-0.0747778962136994,-0.0140246092630246,0.104585082234408
"even",-0.0695804687458873,-0.00679655410170513,0.0278175961048046,0.00848964316828487,0.00199246662231481,0.0285154849510975,-0.0518008787241633,0.0474953772574109,0.0606428369516646,-0.0111719948320935
"ever",-0.0686975342274191,0.0237108081530487,0.0518652434354908,0.0248485510810559,0.0247786572463851,0.0104934259497875,0.00838671866199651,0.00871659636127778,0.0662185936799026,0.0347061579187693
"exalted",-0.0785226521611297,0.0108281259824658,0.0615070803643658,-0.0711129056404399,-0.050491432072241,-0.0764100746832309,0.141509722234506,0.127774499571069,-0.0333071121595794,-0.0490769889133046
"excellence",-0.0761475873142011,-0.0542464238735166,-0.0414079141257664,-0.0455075124469456,0.0419479445846092,-0.067391893118797,0.110793444645563,0.126769516234632,-0.0192415996758746,0.124302049284786
"excellent",-0.0716307055964512,-0.0546841853829037,-0.020638068477717,0.0624443005377427,-0.0109952027998227,0.0409918313950125,0.0664298842921681,0.0607282072185337,-0.0107160418929013,0.114168879959358
"expression",-0.071046687930966,-0.0316344899417336,-0.106840817910591,0.0195967252091104,-0.0321453952132674,0.064252505613642,0.0288374708216322,-0.0428237723954067,0.111570426963918,-0.0606334862182064
"expressions",-0.0718567578307238,-0.0572560126622595,-0.0796430197128456,0.0266188748651374,-0.0645786090450798,0.120279554198914,0.051341074245456,-0.093058755278037,0.085043861218208,-0.112368002342019
"eye",-0.0685133416186528,0.0837979251526365,0.0206219499011109,-0.0396871814181425,-0.0501996798746349,-0.0262054357968153,-0.0804099696900307,-0.0688899509157263,0.00896649346394217,0.0234349808716307
"fair",-0.0658340148829703,0.081548804223611,-0.0298724062657639,-0.056536807160123,0.167765279602031,0.069388442182675,0.0192073399417278,-0.091246030795412,-0.0227593728441263,0.0545549775910068
"fancy",-0.0724673479033876,0.0429794371833041,-0.0609825401434095,-0.0185848966028758,-0.0105898582610651,-0.114310882089696,-0.105767387601637,-0.0823453955845465,0.0632955821579645,-0.00243061886750845
"far",-0.0688794893391114,0.00844269419959301,0.0197807066554831,-0.0297521352991051,0.0144206566456169,0.0427236935950215,-0.0565734465897447,0.0645499528744126,-0.00668190908005017,0.0271022200536808
"feel",-0.0674422066271541,0.0243307986912087,0.0508806340936817,-0.0484141060475301,0.0507111671619826,-0.0459028184602941,-0.0185949849074343,-0.0543567818404314,0.164483970465403,-0.0699236396919832
"fire",-0.0654976603803819,0.0828872942361132,0.0276659705533029,0.0108435885674725,0.054169328602142,0.0646293955578534,-0.0468205002710373,-0.044551883332088,0.0704725955898005,-0.0248443143806957
"force",-0.0665338241491087,0.0109402150341237,-0.0277163114956348,-0.0617923082324262,0.106456396868743,0.119354819521332,-0.0443562082339973,0.0383881121927069,0.0739287173126175,-0.0372677718658437
"form",-0.0691578324000164,0.00279038562265914,-0.0341702242454766,-0.057148144575416,-0.0229901209417145,0.0842886361573166,-0.0467528819822796,-0.0628418228218451,-0.045203758808048,0.00608050045284515
"full",-0.0688307964864972,0.0281904813407387,0.015756767875288,0.0252871254113944,-0.0120939505155602,0.0723712319817487,-0.0280255742736972,-0.0240216795972019,0.053205740723781,-0.0269899545315572
"generous",-0.0707428096267974,0.0159850205805097,0.0135090146102442,-0.0922480322883816,0.0531491621013927,-0.0479551743882971,0.107930342413667,0.0321864329115921,0.115630904087884,-0.108852123264127
"genius",-0.0760010287124127,0.0120313856377015,-0.087866304727885,0.0301056943825631,0.0190370460288623,-0.134556950061786,0.00891019577086335,0.138252475765661,-0.0272675778588598,-0.00904551200414965
"gives",-0.071611252766503,0.00328518279659906,-0.0155624598998369,0.0354777628895964,-0.0163150883893387,0.00960582111867473,-0.02310718544907,-0.00435617457514609,0.0630754222991279,0.0578137990633429
"glorious",-0.0737701344857636,0.0462411294633301,0.108978498629389,0.0426469717112135,-0.0730549368040676,0.0146394550231411,0.113759194576678,-0.0442866852067514,-0.0584405024347417,0.0820136801696042
"glory",-0.0711040594218702,0.048529087048304,0.135847929108889,0.0196103262340979,-0.0391350876825112,0.00662158511511029,0.138674914812596,0.0198946168349793,0.0270452675246615,0.119047000325185
"god",-0.0683817174555815,-0.0332131545993903,0.152008840088747,0.0737365289942131,-0.0362061294332647,0.0757866082448193,0.0300168247070681,-0.0550821366553349,0.0656504902955967,0.0569494872551184
"gospel",-0.0670238348382328,-0.123660343000999,0.145497266591542,0.123363705667535,-0.00630421791470734,0.0857294808410448,-0.0372055819912734,-0.0103179302266766,-0.0575611583138925,-0.0819615261802182
"grand",-0.0624691331455333,0.0154510387191898,-0.0659085609475218,-0.0834327822074024,0.0373405374920803,0.17282257693783,0.0683769872015525,-0.0383794152106361,-0.192753846323043,0.0351554723481076
"grandeur",-0.0735609565565983,0.0594668470619665,-0.0656151376953475,-0.161046105438152,-0.0503281801249196,0.0448631884043968,0.152584144078125,0.0364034051613618,-0.080325819294228,0.0407633900832115
"great",-0.069118185668475,0.00321913668381535,0.0141352412441463,0.020395308320245,-0.031517282769358,0.0549261342352637,-0.0065551201555752,0.0811387418502527,0.0152407274422975,0.0379554077151402
"greatness",-0.0740078077194326,0.0189807806994604,0.0298612614568328,-0.0750181498168804,-0.084408630641746,-0.00837024544932288,0.147848936242442,0.109528121227842,0.069226433040741,0.0859334288993862
"heaven",-0.0697466689288424,0.0739644300346274,0.124775977794998,0.0371822974476392,0.00179304757512602,0.0173325847557513,0.0233083244519061,-0.00736904299096921,0.0225661577635887,0.0230505038747936
"heavenly",-0.0749905940031412,0.0442725374656123,0.15069556987584,0.0451769110918578,0.000599676572088739,-0.069415842551564,0.0435081777382465,-0.0963949303753934,-0.0410041309652783,-0.00659824174377942
"height",-0.0681701850579279,0.110833049644669,0.0201610992495237,-0.0871625988677651,-0.0679614350497699,0.0557806267964561,-0.0207070394733328,0.180076904802537,-0.0342873222946709,-0.0180500513477224
"high",-0.0699666229982878,0.0775240887734968,0.0410973851612154,-0.00576799261509881,-0.0675074519249208,0.0902530629873717,0.0197461604424351,0.122556587046828,-0.0133540164568832,-0.0431603422279033
"highest",-0.0738923997237783,-0.0145681613154027,0.0328005052002218,-0.0586721425844494,-0.0376200109327535,0.00222171103384717,0.0787560011270182,0.168792685114795,0.0276884047200252,0.0442357309467118
"holy",-0.0686041174584389,-0.0415428834602678,0.140151139353625,0.141025487910698,-0.0273889031588209,0.0890317241504386,0.058010591681888,-0.0844891478884342,0.0215561972641781,-0.017211730193416
"homer",-0.0726644746150375,0.0286001647817134,-0.150660386132767,0.153895458828493,-0.0374242697920799,-0.038998973407388,0.0262302545069593,0.03727614822086,-0.0127625046797829,0.145082984938048
"human",-0.0748289400315474,-0.0472415927745172,0.0341281980942179,-0.0917094713155298,0.00979829829264203,-0.0584867797018795,-0.0372242488228822,0.0416755133001506,-0.0389507426892198,0.0694351569242967
"idea",-0.0706812618272643,-0.047528446460625,-0.0500512652920044,-0.0830334711299817,-0.0903840628065468,-0.000300972720523643,-0.0382202784834346,-0.0346874105703873,0.0270956935805642,0.0676650313992029
"ideas",-0.0743506278573616,-0.0813403490267239,-0.040822264252601,-0.128021379060256,-0.128724323156666,-0.0610076743568305,-0.105333092290845,-0.0802409707449713,-0.0361329250048376,-0.00683212004681059
"image",-0.0700681047211834,0.0108630760684215,0.0289075873077769,-0.0151141987447029,-0.0213429875720287,0.0191951438058034,0.0741377663968018,-0.205742993926167,0.0273938894303456,0.14754796109273
"images",-0.0732726329013681,-0.0114961111289799,-0.0755699343641617,-0.0162633413487321,-0.071545144384045,0.026832031541518,0.00014151673400116,-0.222297300214683,-0.0371439113191511,0.0315475355050551
"imagination",-0.0739333274340505,0.00144509743189787,-0.101739365568402,-0.121937473337889,-0.0416955775410243,-0.0600059706893653,-0.0715018047837207,-0.0863993628887164,0.0388219275022328,0.0576119131155424
"immortal",-0.075742142448049,0.0779727472385958,0.0871300806683258,0.0674831961150741,0.0461612349809136,-0.0983631560384325,0.076754905427473,-0.0303565285223779,-0.0204770912792179,0.0581631735325444
"just",-0.0683929821427483,-0.0126575348294352,-0.00394022932206025,-0.0140174014906015,0.0290872598843013,0.0764772866489933,-0.00607060737792136,-0.0233099278024809,0.0374261507074664,0.0427251749390099
"kind",-0.0689950119995455,0.00188492594342011,-0.0282007113538602,0.00756648579345014,0.00914468478658667,-0.00856255676319747,-0.0693779235131441,0.0156215501915445,0.0866927341259909,-0.00759206764908638
"knowledge",-0.071497368629435,-0.0994979954469083,0.0610800271390162,-0.0135936493560777,0.0182322311394739,-0.0413418043103459,-0.105878187320517,0.0890005104518944,-0.0413932780750082,0.0799868150311433
"language",-0.0720678149314904,-0.0593291143158131,-0.0942734131090308,0.0734100165094039,-0.0183487025003317,-0.00201959888399965,-0.00628045823834862,-0.00271179227133458,0.0218772618209741,-0.124255448059232
"less",-0.0686402850037224,-0.012396553520107,-0.00887419470340685,-0.0411866155199842,0.00976358906333469,0.0416978599227098,-0.05135609989028,0.0436486671025591,0.0647012787875683,-7.50281423895336e-05
"light",-0.0698329991050348,0.02819248977948,0.0787387444995688,0.0320133576358311,-0.0098855546994287,0.00615884058875576,-0.104000051502041,-0.0692004967492056,-0.0260813321036545,0.0171749983711478
"like",-0.0680213692777484,0.0471378437233926,0.0132301638921955,0.0344529337087095,0.00969578664396945,0.0366547189317688,-0.0759873641368972,-0.012602626841291,0.0665569736667269,-0.0172825569962654
"lofty",-0.073786483939967,0.147509635916444,-0.053878165451394,0.015099543486513,-0.10816485365209,0.0274175011641363,0.0597205710134709,0.032930050564858,-0.146923964235289,-0.11089720759033
"love",-0.0705677549318322,0.0192564636200872,0.0832354196440543,0.000968508585345206,0.081411137513099,-0.0544234981332989,0.0372133978684964,-0.0556024398980282,0.136174113231353,-0.0116962437147093
"low",-0.0677748338656999,0.061232574348048,0.00385555623777836,-0.0352870444195331,-0.0359622898792361,0.0523070063492488,-0.0386825234989985,0.0928219696453728,0.0328025079025794,-0.0730610496397415
"magnificent",-0.0689936158983234,0.0656567896094101,-0.0708990521640465,-0.054727170057326,-0.233294998888103,0.0635487595077666,0.0737540966843371,0.00462734936658726,-0.0938208503552181,0.0118289089364918
"majestic",-0.0761373622040518,0.131836956912153,-0.0565044704379715,0.00354448403619109,-0.0983526793418166,0.0213920004585059,0.109506666586438,-0.0331337310594047,-0.159694837174681,-0.126500340728392
"majesty",-0.0636672737568041,0.0145069341203914,0.0503150584034226,0.0526036555122601,-0.103500112146419,0.146957204107966,0.161616274992852,0.0629475544639254,0.0546073461105323,0.0412369586871946
"manner",-0.0667900011910473,-0.0318947025314278,-0.0283927848964934,0.03343175869906,-0.0706577423181338,0.108411563307927,-0.0375951069626388,0.00772853717283462,0.0517042288731528,-0.0484673617345508
"many",-0.0678885354167539,-0.0182618515300384,0.000328518263415214,0.0387020920633487,-0.0292254659352025,0.0659555180714391,-0.0916499528179725,0.027246795689687,0.000493652203078317,0.0157693203871452
"may",-0.0679229647055956,-0.0187377324506243,0.0293813397350355,0.0261085101268732,0.00940574711145927,0.0509086223338352,-0.0814518899666836,0.0187011752094575,0.0891503756221955,0.0246427352908329
"mighty",-0.0699606749357899,0.0944553398046541,0.0889858943955145,0.0565889925955534,-0.00367211149191559,0.0462655925066585,0.0451228749863794,0.0591658229358775,0.0139921691491943,0.0138600645347685
"milton",-0.0736890161949384,0.0716228819631133,-0.120523818099471,0.102930961808482,0.00165676507065643,-0.0191271663389636,0.0227627920781908,-0.00700543493715414,-0.0169965735235367,0.118246362085212
"mind",-0.0724986105463149,-0.027909779716599,0.0208683595085725,-0.0836154094832312,-0.017188579459358,-0.0758711550732854,-0.0161924012386869,-0.0520915625755824,0.0610328126229198,-0.0166942196041004
"minds",-0.0738069042996763,-0.0658304896991966,0.0615898713395612,-0.0865120496247075,-0.026700494377481,-0.0465454954004054,-0.0303702466242074,-0.043587721140249,0.0185262260811208,-0.0679909634010902
